id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
21179,Butarque,187.0,3,2,295000,1578
21177,Los Rosales,25.0,0,1,135000,5400
21176,Butarque,89.0,2,2,250000,2809
21175,Los Rosales,68.0,2,1,164000,2412
21173,San Andrés,114.0,4,2,257000,2254
21170,Butarque,90.0,2,1,215000,2389
21168,Butarque,110.0,2,2,225000,2045
21167,Butarque,125.0,3,3,275000,2200
21164,Villaverde,125.0,3,2,210000,1680
21162,San Andrés,110.0,4,1,199000,1809
21161,Butarque,125.0,3,3,275000,2200
21159,Butarque,120.0,3,2,250000,2083
21158,Butarque,78.0,2,1,198500,2545
21157,Butarque,147.0,4,2,350000,2381
21155,San Andrés,100.0,3,2,137260,1373
21154,Los Ángeles,102.0,3,2,245000,2402
21153,Butarque,200.0,5,3,330000,1650
21151,Villaverde,104.0,3,2,305000,2933
21144,Butarque,116.0,3,2,280000,2414
21143,Butarque,160.0,4,2,450000,2812
21142,Los Ángeles,83.0,3,1,147000,1771
21140,San Andrés,110.0,4,1,199000,1809
21135,Butarque,106.0,3,2,249500,2354
21133,Los Rosales,70.0,2,1,202000,2886
21132,Villaverde,95.0,3,2,164000,1726
21131,San Andrés,90.0,3,2,179000,1989
21130,Villaverde,79.0,3,1,135000,1709
21127,San Andrés,109.0,3,1,139000,1275
21126,Los Rosales,100.0,3,1,184000,1840
21125,Los Ángeles,125.0,4,2,175000,1400
21120,Los Rosales,98.0,2,2,257000,2622
21119,Butarque,104.0,3,2,155000,1490
21118,Los Rosales,125.0,3,2,210000,1680
21117,Butarque,133.0,3,3,239000,1797
21116,Los Rosales,114.0,3,2,175000,1535
21115,Los Ángeles,90.0,4,1,165000,1833
21114,Butarque,124.0,3,2,245000,1976
21113,Los Rosales,75.0,3,1,136000,1813
21111,Butarque,162.0,4,2,345000,2130
21110,Los Rosales,108.0,3,2,195000,1806
21106,Los Ángeles,75.0,3,1,140000,1867
21105,San Andrés,47.0,1,1,139000,2957
21103,San Andrés,80.0,4,1,165000,2062
21102,Los Ángeles,100.0,3,1,178000,1780
21101,Los Rosales,49.0,2,1,145000,2959
21100,Butarque,183.0,3,2,295000,1612
21099,Butarque,85.0,2,2,185000,2176
21098,Butarque,106.0,3,2,245000,2311
21096,San Andrés,134.0,4,2,292900,2186
21095,San Andrés,107.0,3,2,291000,2720
21093,San Andrés,93.0,2,2,324000,3484
21092,San Andrés,85.0,1,1,240000,2824
21091,San Andrés,72.0,2,2,170000,2361
21090,Los Rosales,99.0,3,2,229000,2313
21089,Butarque,112.0,3,2,299000,2670
21088,Butarque,144.0,4,2,268000,1861
21087,Los Ángeles,76.0,3,2,198307,2609
21086,Los Ángeles,77.0,3,2,199306,2588
21085,Butarque,103.0,3,2,235293,2284
21084,Butarque,105.0,2,2,232695,2216
21083,Butarque,105.0,3,2,235815,2246
21082,Butarque,106.0,3,2,250356,2362
21081,Butarque,105.0,3,2,235305,2241
21080,Butarque,105.0,3,2,234990,2238
21079,Butarque,103.0,3,2,235815,2289
21078,Butarque,103.0,3,2,236227,2293
21077,Butarque,105.0,3,2,234990,2238
21076,Butarque,103.0,3,2,235293,2284
21075,Butarque,114.0,3,2,253291,2222
21074,Butarque,103.0,3,2,235172,2283
21073,Butarque,106.0,3,2,252891,2386
21072,Butarque,105.0,3,2,236154,2249
21071,Butarque,103.0,3,2,236227,2293
21070,Butarque,98.0,2,2,228208,2329
21069,Butarque,105.0,3,2,235402,2242
21068,San Andrés,111.0,3,2,285900,2576
21067,San Andrés,88.0,3,2,270800,3077
21066,San Andrés,91.0,3,2,271200,2980
21065,San Andrés,98.0,3,2,264000,2694
21064,San Andrés,98.0,3,2,257700,2630
21063,San Andrés,98.0,3,2,248300,2534
21062,San Andrés,113.0,4,2,290400,2570
21061,San Andrés,115.0,4,2,292200,2541
21060,San Andrés,95.0,3,2,261100,2748
21059,San Andrés,98.0,3,2,258300,2636
21057,San Andrés,130.0,2,1,215000,1654
21055,Los Ángeles,76.0,3,2,196541,2586
21051,San Andrés,90.0,2,1,139000,1544
21047,Los Ángeles,82.0,3,1,163000,1988
21046,San Andrés,95.0,3,1,177000,1863
21045,Los Rosales,97.0,4,1,160000,1649
21042,Butarque,122.0,3,2,205000,1680
21040,Los Rosales,109.0,4,2,149000,1367
21039,Los Rosales,85.0,4,2,155000,1824
21038,Los Rosales,122.0,3,2,280000,2295
21034,Butarque,110.0,3,2,240000,2182
21033,Butarque,100.0,3,2,205000,2050
21031,San Andrés,92.0,3,1,136000,1478
21029,San Andrés,60.0,2,1,135000,2250
21027,Los Ángeles,89.0,2,2,170000,1910
21026,Los Ángeles,91.0,2,2,173000,1901
21024,Butarque,90.0,3,2,234990,2611
21023,San Andrés,67.0,2,1,148000,2209
21021,Los Ángeles,89.0,3,1,165000,1854
21020,San Andrés,72.0,2,1,135000,1875
21019,Villaverde,93.0,3,2,147000,1581
21014,Villaverde,108.0,3,1,152000,1407
21011,Villaverde,152.0,3,2,340000,2237
21010,Los Ángeles,100.0,3,2,185000,1850
21009,San Andrés,124.0,3,2,369000,2976
21008,Los Ángeles,81.0,3,1,175000,2160
21007,San Cristóbal,122.0,4,2,159000,1303
21006,Los Ángeles,102.0,3,2,210000,2059
21003,San Andrés,95.0,2,2,145000,1526
21002,Butarque,105.0,4,2,251650,2397
20999,Los Ángeles,96.0,4,1,159000,1656
20996,Los Ángeles,97.0,3,2,189000,1948
20995,San Andrés,83.0,3,1,159000,1916
20994,Los Rosales,79.0,3,1,162000,2051
20993,Butarque,105.0,3,2,238000,2267
20986,Villaverde,134.0,4,2,295000,2201
20983,Villaverde,158.0,3,2,289900,1835
20980,Butarque,112.0,4,2,380000,3393
20976,San Andrés,70.0,2,1,138000,1971
20975,Butarque,119.0,3,2,269000,2261
20974,Villaverde,84.0,3,2,225000,2679
20973,Villaverde,150.0,4,2,268000,1787
20972,San Andrés,117.0,2,1,149000,1274
20971,Villaverde,89.0,3,2,199000,2236
20970,Villaverde,89.0,3,2,262000,2944
20969,Villaverde,85.0,3,1,149000,1753
20967,Butarque,103.0,3,2,234927,2281
20966,Los Rosales,80.0,4,2,135000,1688
20965,Vicálvaro,76.0,2,2,240000,3158
20964,Vicálvaro,108.0,3,2,360000,3333
20963,Vicálvaro,95.0,3,2,240000,2526
20960,Casco Histórico de Vicálvaro,60.0,2,1,137000,2283
20959,Ambroz,70.0,3,1,250000,3571
20958,Casco Histórico de Vicálvaro,117.0,2,2,249000,2128
20957,El Cañaveral - Los Berrocales,80.0,2,2,240000,3000
20956,El Cañaveral - Los Berrocales,113.0,3,2,286000,2531
20953,El Cañaveral - Los Berrocales,129.0,3,2,249000,1930
20952,El Cañaveral - Los Berrocales,76.0,1,1,180000,2368
20951,Vicálvaro,70.0,3,1,155000,2214
20950,Vicálvaro,63.0,3,1,138000,2190
20949,El Cañaveral - Los Berrocales,166.0,4,3,442000,2663
20948,El Cañaveral - Los Berrocales,167.0,4,3,446000,2671
20947,El Cañaveral - Los Berrocales,173.0,4,3,440000,2543
20944,Ambroz,71.0,3,1,162000,2282
20942,Ambroz,92.0,2,2,255000,2772
20941,El Cañaveral - Los Berrocales,105.0,2,2,248900,2370
20940,Ambroz,73.0,3,1,155000,2123
20939,El Cañaveral - Los Berrocales,285.0,4,3,339841,1192
20938,El Cañaveral - Los Berrocales,268.0,4,3,338066,1261
20937,El Cañaveral - Los Berrocales,268.0,4,3,337631,1260
20936,Casco Histórico de Vicálvaro,87.0,2,1,169000,1943
20934,Ambroz,75.0,2,1,191000,2547
20933,Vicálvaro,70.0,2,1,165000,2357
20930,El Cañaveral - Los Berrocales,143.0,4,3,276822,1936
20929,Valdebernardo - Valderribas,86.0,2,2,250000,2907
20928,Valdebernardo - Valderribas,78.0,2,2,210000,2692
20927,Valdebernardo - Valderribas,137.0,3,2,545000,3978
20926,El Cañaveral - Los Berrocales,111.0,3,2,223050,2009
20925,El Cañaveral - Los Berrocales,113.0,3,2,218930,1937
20924,El Cañaveral - Los Berrocales,83.0,3,2,215300,2594
20923,Casco Histórico de Vicálvaro,137.0,2,1,296500,2164
20922,El Cañaveral - Los Berrocales,102.0,3,2,289000,2833
20921,Valdebernardo - Valderribas,125.0,3,2,278000,2224
20920,Vicálvaro,87.0,3,1,194000,2230
20919,Vicálvaro,126.0,4,2,415000,3294
20918,Vicálvaro,110.0,3,2,290000,2636
20916,Casco Histórico de Vicálvaro,275.0,5,2,385000,1400
20915,Valdebernardo - Valderribas,95.0,2,2,269900,2841
20914,Casco Histórico de Vicálvaro,85.0,3,1,194000,2282
20913,Vicálvaro,106.0,3,2,278000,2623
20912,Vicálvaro,130.0,4,2,455000,3500
20911,Valdebernardo - Valderribas,91.0,2,2,269900,2966
20910,Valdebernardo - Valderribas,110.0,3,2,290000,2636
20909,Casco Histórico de Vicálvaro,73.0,3,1,142000,1945
20908,Valdebernardo - Valderribas,108.0,3,3,329000,3046
20907,El Cañaveral - Los Berrocales,96.0,2,2,279000,2906
20906,Valdebernardo - Valderribas,119.0,3,1,293000,2462
20905,Valdebernardo - Valderribas,126.0,3,2,317000,2516
20904,Ambroz,80.0,3,1,145000,1812
20902,El Cañaveral - Los Berrocales,96.0,3,2,268000,2792
20901,Casco Histórico de Vicálvaro,60.0,2,1,159000,2650
20900,Casco Histórico de Vicálvaro,120.0,4,1,239000,1992
20899,El Cañaveral - Los Berrocales,87.0,2,2,245000,2816
20898,El Cañaveral - Los Berrocales,54.0,1,1,170000,3148
20897,El Cañaveral - Los Berrocales,102.0,3,2,255500,2505
20896,El Cañaveral - Los Berrocales,116.0,3,2,293500,2530
20895,El Cañaveral - Los Berrocales,127.0,3,3,323000,2543
20894,El Cañaveral - Los Berrocales,122.0,2,2,236000,1934
20893,El Cañaveral - Los Berrocales,154.0,3,2,299900,1947
20892,El Cañaveral - Los Berrocales,97.0,2,2,238000,2454
20891,Casco Histórico de Vicálvaro,86.0,2,2,260000,3023
20890,Casco Histórico de Vicálvaro,82.0,2,2,243000,2963
20889,Casco Histórico de Vicálvaro,112.0,3,2,324000,2893
20888,Casco Histórico de Vicálvaro,108.0,3,2,323000,2991
20887,El Cañaveral - Los Berrocales,100.0,3,2,243000,2430
20886,Casco Histórico de Vicálvaro,130.0,3,2,496000,3815
20885,Casco Histórico de Vicálvaro,128.0,3,2,356000,2781
20884,El Cañaveral - Los Berrocales,105.0,3,2,229000,2181
20882,Ambroz,100.0,3,2,269900,2699
20881,El Cañaveral - Los Berrocales,177.0,4,3,360000,2034
20880,Casco Histórico de Vicálvaro,103.0,2,2,247800,2406
20879,El Cañaveral - Los Berrocales,106.0,3,2,260000,2453
20878,El Cañaveral - Los Berrocales,115.0,3,2,305000,2652
20877,El Cañaveral - Los Berrocales,96.0,2,2,269000,2802
20876,El Cañaveral - Los Berrocales,125.0,3,2,353000,2824
20875,El Cañaveral - Los Berrocales,106.0,2,2,249900,2358
20874,El Cañaveral - Los Berrocales,113.0,3,2,286038,2531
20873,Valdebernardo - Valderribas,105.0,3,3,225000,2143
20870,Vicálvaro,77.0,3,1,151300,1965
20869,Vicálvaro,63.0,3,1,145000,2302
20868,Vicálvaro,60.0,3,1,135000,2250
20867,Vicálvaro,95.0,3,2,225000,2368
20866,Valdebernardo - Valderribas,124.0,4,2,286000,2306
20865,El Cañaveral - Los Berrocales,149.0,4,3,334000,2242
20864,El Cañaveral - Los Berrocales,149.0,4,3,343000,2302
20863,Ambroz,63.0,3,1,139900,2221
20862,El Cañaveral - Los Berrocales,248.0,4,3,348000,1403
20861,El Cañaveral - Los Berrocales,205.0,3,3,350000,1707
20860,Ambroz,66.0,3,1,138000,2091
20859,Casco Histórico de Vicálvaro,66.0,3,1,135000,2045
20858,Casco Histórico de Vicálvaro,68.0,3,1,138500,2037
20856,Valdebernardo - Valderribas,85.0,3,2,224000,2635
20855,Casco Histórico de Vicálvaro,68.0,3,1,135000,1985
20854,Ambroz,83.0,2,2,210000,2530
20853,Ambroz,66.0,3,1,165000,2500
20850,El Cañaveral - Los Berrocales,105.0,2,2,223900,2132
20849,El Cañaveral - Los Berrocales,64.0,1,1,166000,2594
20847,El Cañaveral - Los Berrocales,100.0,3,2,198958,1990
20846,El Cañaveral - Los Berrocales,149.0,3,3,336403,2258
20845,El Cañaveral - Los Berrocales,149.0,3,3,333279,2237
20843,Vicálvaro,74.0,3,3,190000,2568
20842,Valdebernardo - Valderribas,98.0,3,2,326000,3327
20841,Vicálvaro,106.0,4,2,295000,2783
20840,El Cañaveral - Los Berrocales,103.0,3,2,267000,2592
20839,El Cañaveral - Los Berrocales,129.0,3,2,260000,2016
